fish,weigth,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt
2,23.71,0.94,3.56,11.7,12.93,13.71,24.74,25.12,23.42,26.15,2.72
3,41.08,0.83,3.18,10.84,12.24,12.82,29.13,29.49,25.26,26.75,3.02
4,40.1,0.99,4.06,13.85,15.18,15.92,35.65,36.01,32.52,36.44,3.41
5,92.05,1.14,5.29,18.25,20.52,21.56,47.18,48.56,59.54,65.44,4.55
6,78.81,1.14,5.09,17.83,19.45,20.32,43.83,44.99,58.39,63.65,4.33
7,36.04,0.94,3.96,13.55,15.14,15.88,34.4,36.72,34.65,36.72,3.22
8,17.11,0.93,3.53,11.62,13.29,13.83,29.13,29.24,21.39,23.84,2.45
9,27.23,0.94,3.66,12.26,14.05,14.54,31.67,32.39,25.1,31.19,2.92
10,19.02,0.99,3.61,11.82,12.86,13.65,29.73,29.06,20.59,23.48,2.67
11,67.88,0.87,4.1,14.43,15.8,16.54,31.36,36.79,34.17,38.43,3.22
12,63.34,1.14,4.5,16.07,18,18.74,40.54,41.74,44.89,50.01,3.81
13,53.71,0.94,4.24,14.28,15.84,16.74,37.2,37.51,35.18,39.81,3.35
14,50.12,0.87,3.52,12.78,14.35,14.77,31.94,33.26,27.67,30.76,3.02
15,37.38,1,3.7,12.91,14.48,15.22,33.4,33.89,29.36,35.07,3.03
16,34.52,0.94,3.77,13.16,14.39,15.28,33.64,34.6,30.91,34.4,3.41
17,40.59,0.83,3.48,11.54,13.07,13.6,30.4,30.97,23.56,26.81,2.77
18,33.64,1,3.63,12.91,14.31,14.96,33.49,34.31,30.42,33.67,3.33
19,25.07,0.89,3.51,11.68,12.86,13.6,30.48,30.57,23.93,27.22,2.82
20,22.68,0.94,3.51,11.58,12.96,13.5,29.82,30.76,22.73,25.24,2.77
21,62.12,0.99,4.5,16.32,18.01,18.84,41.2,42.27,44.48,49.93,3.86
22,28.09,0.82,2.96,10.26,11.41,11.98,26.98,27.54,26.53,29.58,2.38
23,43.51,0.99,4.2,14.33,15.75,16.32,36.81,37.1,35.22,39.32,3.36
24,57.68,1.04,4.75,16.42,17.85,18.79,41.23,42.51,44.15,48.39,3.76
25,31.38,0.9,3.39,12.17,13.35,13.92,31.01,31.85,25.57,29.58,3.16
26,43.32,0.94,3.96,13.06,14.57,15.18,35.5,36.02,34.27,38.32,3.44
27,34.19,0.99,3.81,13.06,14.44,15.33,34.18,35.3,30.73,34.71,3.31
28,25.93,0.99,3.51,11.92,13.56,14.14,31.01,32.18,24.03,28.47,2.97
29,41.51,0.94,3.96,13.63,15.09,15.75,34.92,35.99,31.76,34.96,3.21
30,34.77,0.95,3.75,13.19,14.54,15.34,33.68,34.52,31.87,34.87,3.36
31,40.05,0.94,4.2,14.98,16.42,17.31,37.48,38.3,36.28,39.41,3.27
32,48.02,1,4.38,15.18,16.72,17.56,38.47,39.26,39.49,44.25,3.43
33,57.98,1.09,4.83,16.22,18.26,19.21,42.56,43.6,44.68,50.68,3.63
34,64.78,1.08,4.76,15.79,17.63,18.34,40.67,41.36,30.35,33.49,3.63
35,53.92,1.1,4.82,16.7,18.79,19.53,43.18,43.51,48.63,52.86,3.93
36,58.33,1.04,4.55,16.12,17.65,18.65,41.42,41.76,42.64,47.69,3.61
37,53.13,1.09,4.62,15.75,17.11,18.01,39.4,40.78,38.37,43.22,3.4
38,55.19,1.1,4.58,16.17,17.76,18.36,40.76,41.41,43.42,49.05,3.83
39,37.54,0.79,3.46,11.48,12.87,13.38,29.17,29.94,21.66,24.1,2.46
40,66.07,1.14,4.9,16.87,18.4,19.33,42.48,42.58,47.92,59.97,3.81
41,19.33,0.85,3.27,10.81,12.16,12.67,27.8,28.1,19.54,21.87,2.47
42,36.74,0.9,3.58,12.87,14,14.71,33.17,33.72,28.87,31.43,3.21
43,31.24,0.89,3.81,12.56,14.1,14.64,31.89,32.94,27.53,30.63,3.81
44,38.59,1,3.61,13.04,14.32,15.03,33.28,34.07,30,32.74,3.13
45,40.64,0.99,3.86,13.45,14.74,15.58,35.06,35.56,32.88,36.01,3.46
46,33.46,0.99,3.76,13.37,14.66,15.38,34.01,34.78,30.51,33.26,3.16
47,18.88,0.9,3.3,10.42,11.55,12.21,26.48,26.78,17.98,20.85,2.5
48,33.15,0.94,3.63,12.49,13.86,14.38,32.09,32.8,27.27,30.36,3.21
49,42.01,0.95,3.98,13.37,15.17,15.88,35.86,36.43,34.33,38.9,3.53
50,29.69,0.91,3.6,11.9,13.42,14.13,31.47,31.88,25.89,29.17,2.99
51,438.34,1.8,8.77,31.15,33.33,35.32,78.68,80.42,164.72,182.59,7.59
52,485.18,1.99,10.57,36.01,38.79,40.47,90,92.81,226.47,239.86,8.54
53,257.27,1.56,7.6,25.09,27.3,29.04,66.06,67.94,113.76,128.72,6.08
54,451.21,1.8,8.91,30.81,33.61,35.38,80.24,82.56,168.91,187.72,7.11
55,352.04,1.89,8.31,29.66,32.1,34.74,76.64,78.6,153.22,174.01,7.32
56,405.02,1.59,7.39,25.72,27.71,28.48,64.4,66.07,108.89,119.13,5.88
57,490.91,1.8,8.38,30.04,32.11,33.87,75.51,77.5,157.45,173.84,7.66
58,435.36,1.67,8.85,31.33,33.34,34.96,79.08,81.15,167.16,184.8,7.83
59,625.15,1.73,9.48,34.7,36.98,38.92,86.84,89.95,202.25,223.3,8.42
60,462.69,1.53,7.82,27.08,28.99,30.43,68.22,69.79,125.29,137.87,6.7
61,439.38,1.7,8.87,30.08,32.67,33.99,75.71,78.61,161.16,175.62,7.87
62,466.87,1.72,9.51,32.9,35.3,37.26,83.12,85.84,180.4,198.2,7.8
63,465.01,1.78,9,31.55,34.12,35.6,80.12,82.31,182.85,201.17,8.16
64,528.53,1.7,8.96,31.91,34.13,36.3,80.64,82.62,180.43,200.53,8.2
65,392.27,1.78,8.21,27,29.32,30.95,70.26,72.23,132,148.07,7.02
66,408.79,1.6,8.16,29.7,32.06,34.01,75.14,76.96,153.31,169.38,7.03
67,437.91,1.6,8.35,29.36,31.89,33.35,75.74,77.85,152.68,173.79,7.35
68,386.52,1.57,8.11,28.9,31.21,32.72,72.87,74.76,145.83,161.43,7.26
69,559.13,1.73,9.4,33.63,37.05,38.62,88.23,91.82,207.87,232.42,8.56
70,578.18,1.55,9.26,33.07,35.32,37.24,83.06,86.07,188.74,208.64,8.23
71,360.78,1.41,8.17,28.98,31.1,32.93,73.56,75.2,144.07,156.91,6.95
72,535.57,1.83,9.65,34.03,36.59,38.53,86.57,89.88,206.35,229.42,8.61
73,406.59,1.68,8.55,30.98,33.72,34.99,79.79,82.56,168.68,183.64,7.62
74,652.21,1.53,9.23,31.96,34.75,36.23,80.94,86.89,187.57,202.89,8.65
75,423.68,1.61,8.91,30.08,32.4,34.27,76.89,79.71,142.13,155.53,7.26
76,424.32,1.79,8.58,29.19,31.64,33.39,73.61,77.94,153.37,168.42,7.73
77,519.64,1.48,9.15,33.67,36.25,38.07,84.97,87.18,197.92,212.66,8.41
78,431.37,1.58,9.6,32.35,34.92,36.72,79.77,82.85,176.44,193.33,7.91
79,493.65,1.55,9.32,33.21,35.83,38.33,83.7,85.95,193.92,212.06,8.02
80,440.09,1.48,9,31.89,34.71,36.3,81.33,84.44,176.45,197.75,7.76
81,497.98,1.73,10.09,32.98,35.61,37.24,82.99,85.67,189.76,207.73,8.41
82,112.82,1.24,6.59,20.52,23.1,24.49,54.31,56.62,72.59,83.24,4.94
83,152.17,1.18,6.03,21.12,23.29,24.65,54.74,55.93,78.6,87.63,5.19
84,108.76,1.18,5.57,19.42,21.26,22.3,49.68,50.7,65.54,71.71,4.62
85,113.7,1.23,5.95,20.27,22.07,23.26,51.72,52.41,67.57,74.95,4.71
86,106.23,1.18,5.8,18.75,20.86,22.03,49.15,50.44,59.88,68.44,4.63
87,116.59,1.23,5.94,20.22,22.25,23.48,52.09,52.93,68.01,76.04,4.62
88,127.74,1.13,5.8,19.34,21.66,22.43,49.12,50.36,64.95,71.58,4.57
89,112.88,1.19,6.24,20.82,23.34,24.48,54.66,55.95,73.92,83.2,4.9
90,100.09,1.13,5.7,18.67,20.84,21.97,49.96,50.72,61.18,70.06,4.57
91,100.78,1.08,5.45,18.42,20.54,21.62,48.4,49.71,68.69,78.22,4.32
92,120.94,1.27,5.85,19.33,21.87,22.96,52.3,53.81,67.12,80.15,4.76
93,93.48,1.17,5.95,18.6,21.08,22,48.79,50.41,55.62,62.95,3.92
94,107.22,1.09,5.75,19.31,21.7,22.7,51.62,52.96,64.16,76.34,4.48
95,106.53,1.18,5.85,19.25,21.28,22.39,50.8,52.05,62.33,70.94,4.62
96,164.11,1.27,6.55,22.21,24.66,25.22,59.27,60.41,84.94,98.43,5.2
97,106.62,1.24,5.94,20.52,22.65,23.99,54.04,54.59,71.38,81.53,4.7
98,155.39,1.19,6.58,21.17,23.55,24.51,55.37,60.05,80.33,90.22,5.06
99,140.87,1.07,5.57,19.61,21.47,22.38,51.26,52.27,71,80.02,5.1
100,201.81,1.25,6.5,22.46,24.65,25.29,53.4,54.21,92.81,101.88,5.88
101,177.49,1.23,6.17,21.96,23.7,24.78,55.26,55.98,88.41,96.26,5.79
102,163.72,1.24,5.97,18.47,20.79,21.4,55.63,56.54,68.78,77.12,5.09
103,141.35,1.22,5.68,20.4,22.48,23.35,51.91,53.3,74.3,81.99,5.19
104,146.18,1.23,5.78,20.84,22.81,24.03,51.14,52.78,75.84,84.77,5.3
105,203.77,1.17,6.15,21.19,23.57,24.42,55.53,56.97,87.34,96.78,5.66
106,185.3,1.18,6.2,21.74,23.59,24.81,55.95,56.59,90.63,99.69,5.93
107,159.15,1.29,6.05,21.47,23.1,24.29,54.22,55.72,84.49,91.3,5.59
108,152.63,1.09,5.71,20.23,21.85,22.83,50.73,51.31,76.31,82.59,5.36
109,139.11,1.24,5.88,20.52,22.3,23.19,51.17,52.61,75.42,82.42,5.29
110,144.79,1.29,5.64,19.98,22.16,23.15,52.2,52.99,84.39,93.3,5.59
111,159.48,1.24,6.35,21,23.18,24.14,53.91,55.48,82.74,91.82,5.79
112,154.56,1.15,5.85,19.21,21.29,22.51,50.43,51.46,69.93,77.75,5.17
113,157.1,1.23,6.32,22,23.99,25.14,55.31,57.71,82.16,92,5.38
114,171.25,1.22,5.63,20.66,22.49,23.4,51.64,52.83,79.6,86.98,5.5
115,147.59,1.23,5.95,21.61,23.56,24.55,54.41,56.16,80.05,88.45,5.25
116,223.13,1.24,6.69,24.45,26.52,27.7,61.03,63.11,106.76,116.04,6.18
117,185.61,1.28,6.08,22.96,24.82,25.95,57.64,59.65,90.84,100.91,5.69
118,207.01,1.24,5.77,21.15,23.1,24.13,53.15,53.98,84.22,91.17,5.65
119,220.95,1.27,6.52,23.64,25.73,26.83,59.92,61.03,103.28,111.65,6.08
120,165.38,1.25,6.07,21.03,22.88,24.09,53.72,54.51,77.75,85.28,5.2
121,119.19,1.12,5.15,18.56,20.33,21.17,46.59,48.26,59.99,66.61,4.68
122,213.32,1.28,7.1,22.73,25.05,26.42,60.11,62.76,97.84,113.01,6.08
123,162.7,1.18,6.19,21.06,23.34,24.51,54.97,57.4,83.34,94.22,5.64
124,133.91,1.13,5.89,19.66,22.01,22.75,51.5,52.94,73.93,82.9,5.3
125,174.02,1.23,6.19,22.88,24.7,26.01,57.6,58.49,88.5,98.7,5.64
126,186.21,1.14,6.49,22.67,24.58,25.79,57.32,59,90.87,98.73,5.59
127,125.98,1.04,5.65,19.61,21.92,22.7,50.7,51.95,70.7,79.27,5.15
128,169.61,1.13,5.96,20.44,22.14,23.12,50.67,51.37,69.9,77.67,5.01
129,163.22,1.12,6.17,21.33,22.94,24.01,53.67,55.13,83.3,90.4,5.63
130,158.01,1.11,5.63,20,22.01,22.98,50.92,52.32,74.49,80.18,5.24
131,169,1.13,5.84,20.29,22.02,23.06,51.51,52.26,74.91,83.59,5.17
132,160.17,1.12,6.07,21.57,23.5,24.62,55.05,56.52,82.51,89.27,5.63
133,222.98,1.4,6.36,23.32,25.29,26.4,58.91,60.18,102.7,111.1,6.28
134,132.6,1.18,6.03,18.74,20.47,21.5,48.27,50.16,69.35,75.73,5.25
135,185.46,1.23,6.55,22.67,24.35,25.31,57.6,58.93,92.35,100.24,5.79
136,176.01,1.16,6.51,21.54,23.49,24.6,55.55,57.89,85.01,93.96,5.63
137,141.49,1.13,5.53,19.02,20.98,22.16,49.24,50.01,66.69,75.23,5.07
138,140.77,1.17,6.02,20.24,22.33,23.35,52.26,53.83,74.69,83.13,5.24
139,188.12,1.15,6.46,22.53,24.51,25.41,56.63,57.8,93.62,102.39,6.01
140,167.31,1.03,6.1,21.47,23.87,24.76,54.32,55.71,84.49,91.33,5.59
141,125.43,1.23,6.12,20.88,22.69,23.82,52.43,53.87,73.86,82.55,5.15
142,143.32,1.17,5.68,20.09,22.11,23.27,51.49,52.42,71.34,78.8,5.1
143,202.94,1.13,6.42,22.7,24.81,26.04,57.95,59.19,96.43,105.63,6.13
144,145.83,1.08,5.99,19.57,21.77,22.66,50,51.49,70.79,77.28,5.12
145,191.33,1.26,6.19,21.44,23.54,24.71,55.26,56.76,84.18,93.66,5.71
146,199.54,1.28,6.81,22.96,25.49,26.62,61.11,62.84,99.9,112.32,6.09
147,158.22,1.18,5.95,20.85,23.17,24.15,55.13,57.16,80.55,92.26,5.24
